sales_order_prefix,sales_order_number,order_date,customer_code,customer_name,warehouse_code,delivery_address,delivery_area,delivery_date,status
SO,000029,2025-11-22,CUST008,Green Energy Co,WH002,"7521 Main St, City",Suburbs,2025-12-04,Delivered
SO,000030,2025-11-22,CUST010,Quality Assurance Ltd,WH001,"9045 Main St, City",Downtown,2025-11-28,Cancelled
SO,000031,2025-11-22,CUST007,Industrial Systems Inc,WH003,"3324 Main St, City",Downtown,2025-11-27,Delivered
SO,000032,2025-11-22,CUST006,Office Pro Services,WH002,"7764 Main St, City",North,2025-11-27,Delivered
SO,000033,2025-11-23,CUST009,Metro Logistics,WH002,"8292 Main St, City",Central,2025-11-27,Cancelled
SO,000034,2025-11-23,CUST002,XYZ Industries,WH003,"259 Main St, City",Downtown,2025-11-24,Delivered
SO,000035,2025-11-23,CUST007,Industrial Systems Inc,WH002,"7114 Main St, City",Downtown,2025-12-01,Cancelled
SO,000036,2025-11-23,CUST006,Office Pro Services,WH003,"195 Main St, City",Downtown,2025-11-25,Delivered
SO,000037,2025-11-23,CUST005,SafeWork Corp,WH002,"509 Main St, City",Downtown,2025-12-06,Delivered
SO,000038,2025-11-23,CUST002,XYZ Industries,WH001,"3027 Main St, City",East,2025-11-27,Delivered
SO,000039,2025-11-23,CUST003,Tech Solutions Ltd,WH003,"9357 Main St, City",North,2025-12-07,Delivered
SO,000040,2025-11-23,CUST009,Metro Logistics,WH002,"7063 Main St, City",East,2025-12-03,Cancelled
SO,000041,2025-11-24,CUST001,ABC Manufacturing,WH002,"7434 Main St, City",Suburbs,2025-11-29,Cancelled
SO,000042,2025-11-24,CUST002,XYZ Industries,WH002,"5651 Main St, City",Suburbs,2025-12-02,Delivered
SO,000043,2025-11-24,CUST003,Tech Solutions Ltd,WH002,"5584 Main St, City",Suburbs,2025-12-03,Delivered
SO,000044,2025-11-24,CUST001,ABC Manufacturing,WH003,"2900 Main St, City",North,2025-12-04,Delivered
SO,000045,2025-11-24,CUST002,XYZ Industries,WH003,"1165 Main St, City",North,2025-12-04,Delivered
SO,000046,2025-11-24,CUST005,SafeWork Corp,WH003,"6650 Main St, City",East,2025-11-26,Cancelled
SO,000047,2025-11-24,CUST008,Green Energy Co,WH003,"8735 Main St, City",Downtown,2025-11-28,Delivered
SO,000048,2025-11-25,CUST004,BuildRight Construction,WH003,"1286 Main St, City",Downtown,2025-11-26,Delivered
SO,000049,2025-11-25,CUST003,Tech Solutions Ltd,WH003,"606 Main St, City",Downtown,2025-12-06,Delivered
SO,000050,2025-11-25,CUST010,Quality Assurance Ltd,WH002,"5334 Main St, City",Central,2025-12-05,Delivered
SO,000051,2025-11-25,CUST006,Office Pro Services,WH003,"8291 Main St, City",Suburbs,2025-12-08,Delivered
SO,000052,2025-11-25,CUST004,BuildRight Construction,WH002,"117 Main St, City",Suburbs,2025-12-04,Delivered
SO,000053,2025-11-26,CUST004,BuildRight Construction,WH001,"9295 Main St, City",East,2025-12-05,Delivered
SO,000054,2025-11-26,CUST009,Metro Logistics,WH001,"8848 Main St, City",North,2025-12-08,Delivered
SO,000055,2025-11-26,CUST005,SafeWork Corp,WH002,"3900 Main St, City",Downtown,2025-12-04,Delivered
SO,000056,2025-11-26,CUST009,Metro Logistics,WH002,"8197 Main St, City",East,2025-12-05,Delivered
SO,000057,2025-11-26,CUST007,Industrial Systems Inc,WH001,"6003 Main St, City",Downtown,2025-12-08,Delivered
SO,000058,2025-11-27,CUST009,Metro Logistics,WH003,"4990 Main St, City",Central,2025-11-30,Cancelled
SO,000059,2025-11-27,CUST002,XYZ Industries,WH001,"8686 Main St, City",West,2025-12-07,Cancelled
SO,000060,2025-11-27,CUST007,Industrial Systems Inc,WH003,"1204 Main St, City",East,2025-12-10,Delivered
SO,000061,2025-11-27,CUST002,XYZ Industries,WH001,"2474 Main St, City",Suburbs,2025-11-28,Delivered
SO,000062,2025-11-27,CUST001,ABC Manufacturing,WH001,"5756 Main St, City",North,2025-12-04,Delivered
SO,000063,2025-11-27,CUST003,Tech Solutions Ltd,WH003,"6121 Main St, City",South,2025-12-03,Cancelled
SO,000064,2025-11-27,CUST001,ABC Manufacturing,WH003,"7395 Main St, City",North,2025-12-03,Cancelled
SO,000065,2025-11-28,CUST009,Metro Logistics,WH001,"3407 Main St, City",Suburbs,2025-12-02,Delivered
SO,000066,2025-11-28,CUST005,SafeWork Corp,WH003,"2442 Main St, City",Downtown,2025-12-01,Delivered
SO,000067,2025-11-28,CUST003,Tech Solutions Ltd,WH003,"5079 Main St, City",Central,2025-12-03,Delivered
SO,000068,2025-11-28,CUST005,SafeWork Corp,WH001,"6470 Main St, City",East,2025-11-29,Delivered
SO,000069,2025-11-28,CUST008,Green Energy Co,WH001,"8874 Main St, City",South,2025-11-29,Cancelled
SO,000070,2025-11-28,CUST001,ABC Manufacturing,WH003,"5957 Main St, City",Suburbs,2025-12-11,Cancelled
SO,000071,2025-11-28,CUST009,Metro Logistics,WH003,"7235 Main St, City",Suburbs,2025-12-10,Delivered
SO,000072,2025-11-28,CUST002,XYZ Industries,WH002,"5817 Main St, City",North,2025-12-06,Cancelled
SO,000073,2025-11-29,CUST001,ABC Manufacturing,WH001,"1439 Main St, City",South,2025-12-06,Delivered
SO,000074,2025-11-29,CUST003,Tech Solutions Ltd,WH002,"8529 Main St, City",Suburbs,2025-12-07,Delivered
SO,000075,2025-11-29,CUST010,Quality Assurance Ltd,WH002,"1026 Main St, City",South,2025-12-10,Delivered
SO,000076,2025-11-29,CUST004,BuildRight Construction,WH001,"2864 Main St, City",Downtown,2025-12-11,Delivered
SO,000077,2025-11-29,CUST004,BuildRight Construction,WH002,"5863 Main St, City",West,2025-12-12,Delivered
SO,000078,2025-11-29,CUST006,Office Pro Services,WH003,"8149 Main St, City",Suburbs,2025-12-08,Delivered
SO,000079,2025-11-30,CUST006,Office Pro Services,WH002,"6662 Main St, City",Downtown,2025-12-02,Delivered
SO,000080,2025-11-30,CUST002,XYZ Industries,WH001,"8755 Main St, City",East,2025-12-02,Delivered
SO,000081,2025-11-30,CUST002,XYZ Industries,WH002,"1811 Main St, City",Central,2025-12-04,Delivered
SO,000082,2025-11-30,CUST005,SafeWork Corp,WH003,"3371 Main St, City",South,2025-12-14,Delivered
SO,000083,2025-11-30,CUST002,XYZ Industries,WH003,"4401 Main St, City",South,2025-12-13,Delivered
SO,000084,2025-11-30,CUST009,Metro Logistics,WH003,"8202 Main St, City",West,2025-12-11,Delivered
SO,000085,2025-11-30,CUST003,Tech Solutions Ltd,WH002,"5688 Main St, City",Suburbs,2025-12-08,Delivered
SO,000086,2025-11-30,CUST004,BuildRight Construction,WH001,"7331 Main St, City",Downtown,2025-12-07,Delivered
SO,000087,2025-12-01,CUST001,ABC Manufacturing,WH001,"3450 Main St, City",East,2025-12-15,Delivered
SO,000088,2025-12-01,CUST004,BuildRight Construction,WH002,"4522 Main St, City",East,2025-12-02,Cancelled
SO,000089,2025-12-01,CUST004,BuildRight Construction,WH003,"5564 Main St, City",North,2025-12-13,Delivered
SO,000090,2025-12-01,CUST002,XYZ Industries,WH003,"7503 Main St, City",South,2025-12-07,Cancelled
SO,000091,2025-12-01,CUST004,BuildRight Construction,WH003,"6691 Main St, City",East,2025-12-11,Delivered
SO,000092,2025-12-01,CUST004,BuildRight Construction,WH003,"5875 Main St, City",Suburbs,2025-12-02,Cancelled
SO,000093,2025-12-02,CUST009,Metro Logistics,WH002,"8758 Main St, City",Central,2025-12-12,Delivered
SO,000094,2025-12-02,CUST004,BuildRight Construction,WH002,"8624 Main St, City",East,2025-12-06,Cancelled
SO,000095,2025-12-02,CUST010,Quality Assurance Ltd,WH003,"2854 Main St, City",East,2025-12-14,Delivered
SO,000096,2025-12-02,CUST005,SafeWork Corp,WH002,"1552 Main St, City",South,2025-12-14,Delivered
SO,000097,2025-12-02,CUST002,XYZ Industries,WH003,"3096 Main St, City",West,2025-12-06,Cancelled
SO,000098,2025-12-03,CUST003,Tech Solutions Ltd,WH002,"7164 Main St, City",Downtown,2025-12-15,Delivered
SO,000099,2025-12-03,CUST003,Tech Solutions Ltd,WH002,"959 Main St, City",East,2025-12-06,Delivered
SO,000100,2025-12-03,CUST007,Industrial Systems Inc,WH001,"7228 Main St, City",East,2025-12-12,Delivered
SO,000101,2025-12-03,CUST010,Quality Assurance Ltd,WH002,"1923 Main St, City",North,2025-12-16,Delivered
SO,000102,2025-12-03,CUST003,Tech Solutions Ltd,WH001,"7867 Main St, City",South,2025-12-05,Cancelled
SO,000103,2025-12-04,CUST001,ABC Manufacturing,WH003,"3816 Main St, City",East,2025-12-15,Cancelled
SO,000104,2025-12-04,CUST004,BuildRight Construction,WH002,"147 Main St, City",North,2025-12-16,Cancelled
SO,000105,2025-12-04,CUST010,Quality Assurance Ltd,WH001,"1795 Main St, City",East,2025-12-07,Cancelled
SO,000106,2025-12-04,CUST005,SafeWork Corp,WH001,"4362 Main St, City",North,2025-12-17,Cancelled
SO,000107,2025-12-04,CUST007,Industrial Systems Inc,WH002,"4867 Main St, City",Suburbs,2025-12-11,Delivered
SO,000108,2025-12-04,CUST003,Tech Solutions Ltd,WH002,"7907 Main St, City",North,2025-12-12,Delivered
SO,000109,2025-12-04,CUST008,Green Energy Co,WH001,"3333 Main St, City",Central,2025-12-14,Delivered
SO,000110,2025-12-04,CUST004,BuildRight Construction,WH003,"9405 Main St, City",Central,2025-12-18,Delivered
SO,000111,2025-12-05,CUST009,Metro Logistics,WH003,"5813 Main St, City",East,2025-12-12,Delivered
SO,000112,2025-12-05,CUST009,Metro Logistics,WH001,"460 Main St, City",East,2025-12-10,Cancelled
SO,000113,2025-12-05,CUST010,Quality Assurance Ltd,WH003,"925 Main St, City",Downtown,2025-12-10,Delivered
SO,000114,2025-12-05,CUST007,Industrial Systems Inc,WH001,"9803 Main St, City",Suburbs,2025-12-06,Delivered
SO,000115,2025-12-05,CUST007,Industrial Systems Inc,WH003,"4816 Main St, City",Central,2025-12-16,Delivered
SO,000116,2025-12-05,CUST009,Metro Logistics,WH001,"4794 Main St, City",Suburbs,2025-12-19,Delivered
SO,000117,2025-12-05,CUST003,Tech Solutions Ltd,WH003,"9417 Main St, City",Downtown,2025-12-18,Delivered
SO,000118,2025-12-05,CUST009,Metro Logistics,WH002,"9386 Main St, City",Central,2025-12-18,Delivered
SO,000119,2025-12-06,CUST010,Quality Assurance Ltd,WH002,"766 Main St, City",Suburbs,2025-12-09,Delivered
SO,000120,2025-12-06,CUST005,SafeWork Corp,WH002,"5874 Main St, City",Central,2025-12-15,Delivered
SO,000121,2025-12-06,CUST008,Green Energy Co,WH003,"7383 Main St, City",East,2025-12-15,Delivered
SO,000122,2025-12-07,CUST003,Tech Solutions Ltd,WH002,"6213 Main St, City",Suburbs,2025-12-15,Delivered
SO,000123,2025-12-07,CUST007,Industrial Systems Inc,WH001,"8282 Main St, City",Suburbs,2025-12-14,Delivered
SO,000124,2025-12-07,CUST003,Tech Solutions Ltd,WH003,"7435 Main St, City",Downtown,2025-12-16,Cancelled
SO,000125,2025-12-07,CUST003,Tech Solutions Ltd,WH002,"9428 Main St, City",Central,2025-12-21,Delivered
SO,000126,2025-12-08,CUST010,Quality Assurance Ltd,WH001,"6542 Main St, City",North,2025-12-18,Delivered
SO,000127,2025-12-08,CUST004,BuildRight Construction,WH001,"958 Main St, City",South,2025-12-20,Delivered
SO,000128,2025-12-08,CUST001,ABC Manufacturing,WH003,"9179 Main St, City",South,2025-12-11,Delivered
SO,000129,2025-12-08,CUST009,Metro Logistics,WH002,"7813 Main St, City",East,2025-12-19,Delivered
SO,000130,2025-12-08,CUST001,ABC Manufacturing,WH002,"9990 Main St, City",Suburbs,2025-12-16,Delivered
SO,000131,2025-12-08,CUST006,Office Pro Services,WH002,"5261 Main St, City",West,2025-12-18,Delivered
SO,000132,2025-12-09,CUST006,Office Pro Services,WH002,"4525 Main St, City",Suburbs,2025-12-14,Delivered
SO,000133,2025-12-09,CUST003,Tech Solutions Ltd,WH002,"6200 Main St, City",West,2025-12-17,Delivered
SO,000134,2025-12-09,CUST006,Office Pro Services,WH001,"8470 Main St, City",Central,2025-12-16,Delivered
SO,000135,2025-12-09,CUST004,BuildRight Construction,WH001,"385 Main St, City",Central,2025-12-14,Delivered
SO,000136,2025-12-09,CUST007,Industrial Systems Inc,WH002,"8200 Main St, City",South,2025-12-23,Delivered
SO,000137,2025-12-09,CUST004,BuildRight Construction,WH002,"1149 Main St, City",East,2025-12-13,Cancelled
SO,000138,2025-12-09,CUST004,BuildRight Construction,WH002,"8470 Main St, City",East,2025-12-16,Cancelled
SO,000139,2025-12-09,CUST008,Green Energy Co,WH002,"2869 Main St, City",South,2025-12-12,Delivered
SO,000140,2025-12-10,CUST008,Green Energy Co,WH001,"3543 Main St, City",Central,2025-12-11,Delivered
SO,000141,2025-12-10,CUST003,Tech Solutions Ltd,WH001,"8544 Main St, City",West,2025-12-21,Delivered
SO,000142,2025-12-10,CUST008,Green Energy Co,WH001,"9867 Main St, City",South,2025-12-16,Cancelled
SO,000143,2025-12-10,CUST001,ABC Manufacturing,WH002,"9403 Main St, City",Suburbs,2025-12-14,Delivered
SO,000144,2025-12-11,CUST004,BuildRight Construction,WH001,"4928 Main St, City",South,2025-12-19,Delivered
SO,000145,2025-12-11,CUST007,Industrial Systems Inc,WH002,"1827 Main St, City",East,2025-12-12,Delivered
SO,000146,2025-12-11,CUST002,XYZ Industries,WH001,"5190 Main St, City",West,2025-12-17,Delivered
SO,000147,2025-12-11,CUST007,Industrial Systems Inc,WH003,"4042 Main St, City",North,2025-12-17,Delivered
SO,000148,2025-12-11,CUST010,Quality Assurance Ltd,WH002,"9598 Main St, City",North,2025-12-22,Delivered
SO,000149,2025-12-11,CUST007,Industrial Systems Inc,WH003,"2816 Main St, City",Downtown,2025-12-24,Cancelled
SO,000150,2025-12-12,CUST009,Metro Logistics,WH002,"1909 Main St, City",East,2025-12-18,Delivered
SO,000151,2025-12-12,CUST007,Industrial Systems Inc,WH003,"5016 Main St, City",Suburbs,2025-12-23,Delivered
SO,000152,2025-12-12,CUST007,Industrial Systems Inc,WH002,"4576 Main St, City",Central,2025-12-22,Delivered
SO,000153,2025-12-13,CUST003,Tech Solutions Ltd,WH002,"1435 Main St, City",Suburbs,2025-12-14,Cancelled
SO,000154,2025-12-13,CUST010,Quality Assurance Ltd,WH001,"6835 Main St, City",South,2025-12-19,Cancelled
SO,000155,2025-12-13,CUST008,Green Energy Co,WH001,"295 Main St, City",Suburbs,2025-12-26,Delivered
SO,000156,2025-12-13,CUST004,BuildRight Construction,WH003,"6064 Main St, City",Downtown,2025-12-24,Delivered
SO,000157,2025-12-13,CUST001,ABC Manufacturing,WH003,"461 Main St, City",East,2025-12-23,Cancelled
SO,000158,2025-12-13,CUST001,ABC Manufacturing,WH003,"6727 Main St, City",East,2025-12-16,Cancelled
SO,000159,2025-12-13,CUST005,SafeWork Corp,WH001,"2768 Main St, City",East,2025-12-27,Cancelled
SO,000160,2025-12-14,CUST006,Office Pro Services,WH002,"1442 Main St, City",Central,2025-12-27,Delivered
SO,000161,2025-12-14,CUST010,Quality Assurance Ltd,WH003,"2988 Main St, City",East,2025-12-17,Delivered
SO,000162,2025-12-14,CUST003,Tech Solutions Ltd,WH003,"5968 Main St, City",West,2025-12-16,Cancelled
SO,000163,2025-12-14,CUST003,Tech Solutions Ltd,WH003,"9191 Main St, City",North,2025-12-16,Delivered
SO,000164,2025-12-14,CUST006,Office Pro Services,WH002,"3837 Main St, City",West,2025-12-20,Delivered
SO,000165,2025-12-14,CUST007,Industrial Systems Inc,WH002,"4607 Main St, City",West,2025-12-21,Delivered
SO,000166,2025-12-14,CUST010,Quality Assurance Ltd,WH003,"6496 Main St, City",Downtown,2025-12-18,Delivered
SO,000167,2025-12-14,CUST001,ABC Manufacturing,WH002,"1431 Main St, City",West,2025-12-28,Delivered
SO,000168,2025-12-15,CUST008,Green Energy Co,WH001,"3308 Main St, City",West,2025-12-24,Delivered
SO,000169,2025-12-15,CUST010,Quality Assurance Ltd,WH001,"8754 Main St, City",West,2025-12-22,Delivered
SO,000170,2025-12-15,CUST007,Industrial Systems Inc,WH003,"8070 Main St, City",Central,2025-12-17,Delivered
SO,000171,2025-12-15,CUST005,SafeWork Corp,WH003,"3488 Main St, City",Suburbs,2025-12-19,Cancelled
SO,000172,2025-12-15,CUST005,SafeWork Corp,WH001,"2831 Main St, City",Central,2025-12-27,Cancelled
SO,000173,2025-12-16,CUST006,Office Pro Services,WH001,"9128 Main St, City",Downtown,2025-12-18,Delivered
SO,000174,2025-12-16,CUST003,Tech Solutions Ltd,WH002,"1377 Main St, City",Central,2025-12-17,Delivered
SO,000175,2025-12-16,CUST005,SafeWork Corp,WH002,"6426 Main St, City",West,2025-12-22,Cancelled
SO,000176,2025-12-16,CUST001,ABC Manufacturing,WH003,"2519 Main St, City",Downtown,2025-12-18,Cancelled
SO,000177,2025-12-16,CUST005,SafeWork Corp,WH003,"5379 Main St, City",North,2025-12-25,Delivered
SO,000178,2025-12-17,CUST010,Quality Assurance Ltd,WH001,"6890 Main St, City",Downtown,2025-12-26,Cancelled
SO,000179,2025-12-17,CUST004,BuildRight Construction,WH002,"1343 Main St, City",Downtown,2025-12-24,Delivered
SO,000180,2025-12-17,CUST006,Office Pro Services,WH002,"1467 Main St, City",Downtown,2025-12-30,Cancelled
SO,000181,2025-12-17,CUST006,Office Pro Services,WH002,"774 Main St, City",Suburbs,2025-12-22,Delivered
SO,000182,2025-12-18,CUST001,ABC Manufacturing,WH002,"2533 Main St, City",South,2025-12-31,Delivered
SO,000183,2025-12-18,CUST002,XYZ Industries,WH003,"3720 Main St, City",East,2025-12-25,Cancelled
SO,000184,2025-12-18,CUST001,ABC Manufacturing,WH003,"750 Main St, City",Suburbs,2025-12-26,Delivered
SO,000185,2025-12-18,CUST009,Metro Logistics,WH001,"8141 Main St, City",South,2025-12-29,Delivered
SO,000186,2025-12-18,CUST010,Quality Assurance Ltd,WH001,"9813 Main St, City",East,2025-12-21,Delivered
SO,000187,2025-12-18,CUST002,XYZ Industries,WH003,"104 Main St, City",Downtown,2025-12-31,Delivered
SO,000188,2025-12-18,CUST003,Tech Solutions Ltd,WH003,"6236 Main St, City",East,2025-12-20,Delivered
SO,000189,2025-12-19,CUST004,BuildRight Construction,WH003,"7515 Main St, City",Central,2025-12-23,Cancelled
SO,000190,2025-12-19,CUST005,SafeWork Corp,WH003,"6223 Main St, City",North,2025-12-24,Delivered
SO,000191,2025-12-19,CUST004,BuildRight Construction,WH003,"4785 Main St, City",Suburbs,2025-12-30,Cancelled
SO,000192,2025-12-19,CUST005,SafeWork Corp,WH002,"1258 Main St, City",East,2025-12-21,Delivered
SO,000193,2025-12-20,CUST008,Green Energy Co,WH002,"4411 Main St, City",West,2025-12-30,Delivered
SO,000194,2025-12-20,CUST009,Metro Logistics,WH002,"8099 Main St, City",North,2025-12-21,Delivered
SO,000195,2025-12-20,CUST004,BuildRight Construction,WH003,"814 Main St, City",West,2025-12-22,Delivered
SO,000196,2025-12-20,CUST003,Tech Solutions Ltd,WH002,"8015 Main St, City",Suburbs,2025-12-26,Delivered
SO,000197,2025-12-20,CUST003,Tech Solutions Ltd,WH003,"5166 Main St, City",Suburbs,2025-12-27,Delivered
SO,000198,2025-12-20,CUST002,XYZ Industries,WH003,"2914 Main St, City",North,2026-01-03,Delivered
SO,000199,2025-12-20,CUST003,Tech Solutions Ltd,WH002,"9154 Main St, City",Central,2026-01-01,Delivered
SO,000200,2025-12-21,CUST003,Tech Solutions Ltd,WH001,"6442 Main St, City",Downtown,2026-01-01,Cancelled
SO,000201,2025-12-21,CUST010,Quality Assurance Ltd,WH002,"2713 Main St, City",Suburbs,2025-12-24,Delivered
SO,000202,2025-12-21,CUST010,Quality Assurance Ltd,WH002,"228 Main St, City",East,2025-12-31,Cancelled
SO,000203,2025-12-21,CUST003,Tech Solutions Ltd,WH003,"3163 Main St, City",Suburbs,2026-01-04,Delivered
SO,000204,2025-12-21,CUST008,Green Energy Co,WH002,"3082 Main St, City",West,2025-12-30,Delivered
SO,000205,2025-12-21,CUST009,Metro Logistics,WH002,"4014 Main St, City",East,2026-01-01,Delivered
SO,000206,2025-12-22,CUST006,Office Pro Services,WH002,"2203 Main St, City",Suburbs,2026-01-05,Delivered
SO,000207,2025-12-22,CUST009,Metro Logistics,WH001,"7299 Main St, City",Downtown,2025-12-25,Delivered
SO,000208,2025-12-22,CUST001,ABC Manufacturing,WH002,"541 Main St, City",Downtown,2026-01-01,Delivered
SO,000209,2025-12-22,CUST004,BuildRight Construction,WH002,"3873 Main St, City",Suburbs,2025-12-26,Delivered
SO,000210,2025-12-22,CUST003,Tech Solutions Ltd,WH002,"6998 Main St, City",Downtown,2025-12-29,Delivered
SO,000211,2025-12-22,CUST007,Industrial Systems Inc,WH003,"8789 Main St, City",South,2025-12-26,Delivered
SO,000212,2025-12-22,CUST009,Metro Logistics,WH002,"6915 Main St, City",Suburbs,2025-12-26,Delivered
SO,000213,2025-12-22,CUST010,Quality Assurance Ltd,WH001,"7829 Main St, City",Downtown,2025-12-25,Delivered
SO,000214,2025-12-23,CUST006,Office Pro Services,WH003,"4582 Main St, City",Suburbs,2025-12-25,Delivered
SO,000215,2025-12-23,CUST007,Industrial Systems Inc,WH001,"8731 Main St, City",South,2026-01-03,Delivered
SO,000216,2025-12-23,CUST010,Quality Assurance Ltd,WH002,"5873 Main St, City",West,2026-01-02,Cancelled
SO,000217,2025-12-23,CUST004,BuildRight Construction,WH003,"946 Main St, City",North,2025-12-25,Delivered
SO,000218,2025-12-23,CUST005,SafeWork Corp,WH001,"2439 Main St, City",West,2025-12-25,Delivered
SO,000219,2025-12-24,CUST008,Green Energy Co,WH003,"1761 Main St, City",Downtown,2025-12-27,Delivered
SO,000220,2025-12-24,CUST007,Industrial Systems Inc,WH003,"5613 Main St, City",Central,2025-12-27,Delivered
SO,000221,2025-12-24,CUST001,ABC Manufacturing,WH003,"305 Main St, City",Central,2025-12-27,Delivered
SO,000222,2025-12-24,CUST008,Green Energy Co,WH001,"8660 Main St, City",East,2026-01-02,Delivered
SO,000223,2025-12-24,CUST007,Industrial Systems Inc,WH002,"9067 Main St, City",West,2026-01-05,Delivered
SO,000224,2025-12-24,CUST009,Metro Logistics,WH002,"2945 Main St, City",West,2026-01-01,Cancelled
SO,000225,2025-12-25,CUST004,BuildRight Construction,WH003,"5391 Main St, City",Suburbs,2026-01-03,Delivered
SO,000226,2025-12-25,CUST010,Quality Assurance Ltd,WH002,"7818 Main St, City",East,2026-01-06,Delivered
SO,000227,2025-12-25,CUST004,BuildRight Construction,WH001,"2673 Main St, City",Downtown,2026-01-01,Cancelled
SO,000228,2025-12-25,CUST010,Quality Assurance Ltd,WH001,"6475 Main St, City",Downtown,2025-12-29,Delivered
SO,000229,2025-12-25,CUST004,BuildRight Construction,WH002,"5895 Main St, City",North,2025-12-29,Delivered
SO,000230,2025-12-25,CUST009,Metro Logistics,WH001,"9348 Main St, City",Suburbs,2025-12-30,Delivered
SO,000231,2025-12-26,CUST006,Office Pro Services,WH003,"840 Main St, City",Central,2025-12-27,Delivered
SO,000232,2025-12-26,CUST005,SafeWork Corp,WH001,"373 Main St, City",East,2026-01-05,Delivered
SO,000233,2025-12-26,CUST003,Tech Solutions Ltd,WH002,"6481 Main St, City",West,2026-01-04,Delivered
SO,000234,2025-12-26,CUST006,Office Pro Services,WH002,"840 Main St, City",Suburbs,2026-01-01,Delivered
SO,000235,2025-12-26,CUST002,XYZ Industries,WH002,"9926 Main St, City",Central,2026-01-05,Delivered
SO,000236,2025-12-27,CUST010,Quality Assurance Ltd,WH001,"6663 Main St, City",Downtown,2025-12-30,Cancelled
SO,000237,2025-12-27,CUST001,ABC Manufacturing,WH002,"7020 Main St, City",North,2026-01-05,Delivered
SO,000238,2025-12-27,CUST006,Office Pro Services,WH002,"2394 Main St, City",South,2026-01-01,Delivered
SO,000239,2025-12-27,CUST007,Industrial Systems Inc,WH001,"6374 Main St, City",Downtown,2025-12-28,Delivered
SO,000240,2025-12-27,CUST007,Industrial Systems Inc,WH003,"1180 Main St, City",Downtown,2026-01-09,Delivered
SO,000241,2025-12-27,CUST008,Green Energy Co,WH003,"608 Main St, City",West,2026-01-07,Delivered
SO,000242,2025-12-27,CUST005,SafeWork Corp,WH001,"2614 Main St, City",South,2026-01-05,Delivered
